archetype,fires_total,wins_dedup,win_rate,losses_total,blocked_by_wick_trap,blocked_by_liquidity_sweep,blocked_by_oi_divergence,blocked_by_exhaustion_reversal,blocked_by_confluence_breakout,blocked_by_other
confluence_breakout,118,23,0.1949,95,2,36,54,0,0,3
exhaustion_reversal,59,34,0.5763,25,8,3,5,0,0,9
funding_divergence,15,13,0.8667,2,0,0,2,0,0,0
liquidity_compression,19,18,0.9474,1,0,0,1,0,0,0
liquidity_sweep,213,109,0.5117,104,87,0,6,2,0,9
liquidity_vacuum,7,3,0.4286,4,0,0,4,0,0,0
oi_divergence,238,89,0.3739,149,35,70,0,12,22,10
retest_cluster,54,2,0.0370,52,15,4,12,17,1,3
spring,13,0,0.0000,13,4,0,3,3,0,3
trap_within_trend,483,5,0.0104,478,457,11,5,0,0,5
wick_trap,503,490,0.9742,13,0,0,4,0,0,9
